File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF010ACH	bed narrowPeak	peaks	ENCSR251UPG	DNase-seq	CL:1001608	foreskin fibroblast	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF226NPJ, ENCFF967OQF	2045967	ENCODE Processing Pipeline	719a8ea44d6e3a1738d08bf136a0bbaa		https://www.encodeproject.org/files/ENCFF010ACH/@@download/ENCFF010ACH.bed.gz	GRCh38				released	s3://encode-public/2018/05/04/a2478e44-12aa-4dca-bfc6-636c562e3a9a/ENCFF010ACH.bed.gz				
ENCFF811FJV	bed narrowPeak	peaks	ENCSR251UPG	DNase-seq	CL:1001608	foreskin fibroblast	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF876BPX	2045158	ENCODE Processing Pipeline	522e3ef95ce1552fb0c34155f261b258		https://www.encodeproject.org/files/ENCFF811FJV/@@download/ENCFF811FJV.bed.gz	hg19				released	s3://encode-public/2018/05/14/0f6bbaaf-995b-4c4b-b25f-3835834766a1/ENCFF811FJV.bed.gz				
ENCFF058TRU	bed narrowPeak	peaks	ENCSR251UPG	DNase-seq	CL:1001608	foreskin fibroblast	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF422MUC, ENCFF992CZQ	1982705	ENCODE Processing Pipeline	08068dbdafd3f2e2eb52a7a3525b490b		https://www.encodeproject.org/files/ENCFF058TRU/@@download/ENCFF058TRU.bed.gz	GRCh38				archived	s3://encode-public/2016/10/30/1f58b022-a8b3-4f15-8c97-5e8067ef3219/ENCFF058TRU.bed.gz				
ENCFF484DDR	bed narrowPeak	peaks	ENCSR251UPG	DNase-seq	CL:1001608	foreskin fibroblast	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF526XOA	1978627	ENCODE Processing Pipeline	b4d2d39baaba1d276edfa495843f9011		https://www.encodeproject.org/files/ENCFF484DDR/@@download/ENCFF484DDR.bed.gz	hg19				archived	s3://encode-public/2016/10/30/aba2aae3-d10c-48a7-86d4-baffcc754ddc/ENCFF484DDR.bed.gz				
ENCFF116DHO	bed narrowPeak	peaks	ENCSR251UPG	DNase-seq	CL:1001608	foreskin fibroblast	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF226NPJ, ENCFF967OQF	2047879	ENCODE Processing Pipeline	ea6c093f6f72a20339993734d0845f9b		https://www.encodeproject.org/files/ENCFF116DHO/@@download/ENCFF116DHO.bed.gz	GRCh38				archived	s3://encode-public/2017/09/18/60954110-b495-4b2f-9ced-204564fdc5d1/ENCFF116DHO.bed.gz				
ENCFF459SPU	bed narrowPeak	peaks	ENCSR251UPG	DNase-seq	CL:1001608	foreskin fibroblast	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF876BPX	2045622	ENCODE Processing Pipeline	73f85b7ff23f5b3103ae0f5383244f6b		https://www.encodeproject.org/files/ENCFF459SPU/@@download/ENCFF459SPU.bed.gz	hg19				archived	s3://encode-public/2017/09/19/59d44472-8fea-4e8c-a889-2f9db6ff69f6/ENCFF459SPU.bed.gz				
ENCFF926GXK	bed narrowPeak	peaks	ENCSR371KRY	DNase-seq	NTR:0000522	fibroblast of skin of left quadriceps	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF697TQJ, ENCFF967OQF	1471416	ENCODE Processing Pipeline	774e616344f2e26461ee7fbca81af8e3		https://www.encodeproject.org/files/ENCFF926GXK/@@download/ENCFF926GXK.bed.gz	GRCh38				released	s3://encode-public/2018/05/06/fbad277c-8f56-4e15-84a1-f82c43a5471d/ENCFF926GXK.bed.gz	low read depth	mismatched status, NTR biosample		
ENCFF488SRU	bed narrowPeak	peaks	ENCSR371KRY	DNase-seq	NTR:0000522	fibroblast of skin of left quadriceps	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF408AZE	1467585	ENCODE Processing Pipeline	05deec6fb4626151f199353046b9347a		https://www.encodeproject.org/files/ENCFF488SRU/@@download/ENCFF488SRU.bed.gz	hg19				released	s3://encode-public/2018/05/14/4ce69537-51b0-4bf1-b5fa-473afc8e30d3/ENCFF488SRU.bed.gz	low read depth	mismatched status, NTR biosample		
ENCFF725WHX	bed narrowPeak	peaks	ENCSR371KRY	DNase-seq	NTR:0000522	fibroblast of skin of left quadriceps	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF074GHV, ENCFF992CZQ	1420803	ENCODE Processing Pipeline	0c4e72c8fab6102d11c4c4f0eff22c37		https://www.encodeproject.org/files/ENCFF725WHX/@@download/ENCFF725WHX.bed.gz	GRCh38				archived	s3://encode-public/2016/11/04/7e3cda06-12d1-4d8c-80ec-d4dfea6579fb/ENCFF725WHX.bed.gz	low read depth	mismatched status, NTR biosample		
ENCFF414HEV	bed narrowPeak	peaks	ENCSR371KRY	DNase-seq	NTR:0000522	fibroblast of skin of left quadriceps	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF396SGK	1415406	ENCODE Processing Pipeline	1cdbdd3381a9d2e402abc70d9a948288		https://www.encodeproject.org/files/ENCFF414HEV/@@download/ENCFF414HEV.bed.gz	hg19				archived	s3://encode-public/2016/11/04/a5c127fd-f2a6-4ad2-b199-7978f11d5e29/ENCFF414HEV.bed.gz	low read depth	mismatched status, NTR biosample		
