File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF002CEH	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000ALA	ChIP-seq	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens										CTCF-human	DNA		see document	see document		False	2011-02-10	ENCODE												766613	ENCODE Consortium Analysis Working Group	79618d0c39b6e86ab98478f10c438082		https://www.encodeproject.org/files/ENCFF002CEH/@@download/ENCFF002CEH.bed.gz	hg19				archived	s3://encode-public/2014/06/06/1ffd5e68-e80a-46d7-89ca-74dd537eefde/ENCFF002CEH.narrowPeak.gz	low read length, mild to moderate bottlenecking, control low read depth, moderate library complexity	missing derived_from	insufficient read depth	
ENCFF084VMV	bed narrowPeak	peaks and background as input for IDR	ENCSR000ALA	ChIP-seq	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens										CTCF-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF039WIG, ENCFF735DEG	3946334	ENCODE Processing Pipeline	e9baaf031d262ea751d5c643caaea098		https://www.encodeproject.org/files/ENCFF084VMV/@@download/ENCFF084VMV.bed.gz	hg19				released	s3://encode-public/2017/04/21/260190b8-5615-43b4-a404-8648c999fbd4/ENCFF084VMV.bed.gz	low read length, mild to moderate bottlenecking, control low read depth, moderate library complexity		insufficient read depth	
ENCFF655XWN	bed narrowPeak	pseudoreplicated IDR thresholded peaks	ENCSR000ALA	ChIP-seq	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens										CTCF-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF001TDO, ENCFF084VMV	506648	ENCODE Processing Pipeline	bf25661cc13c9eaff1968fb0d53b2b0c		https://www.encodeproject.org/files/ENCFF655XWN/@@download/ENCFF655XWN.bed.gz	hg19				released	s3://encode-public/2017/04/21/00184c2e-ccc6-47c7-91ce-ab2e2c661f1f/ENCFF655XWN.bed.gz	low read length, mild to moderate bottlenecking, control low read depth, moderate library complexity		insufficient read depth	
ENCFF522JCV	bed narrowPeak	pseudoreplicated IDR thresholded peaks	ENCSR000ALA	ChIP-seq	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens										CTCF-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF419RSJ, ENCFF536OTV	510623	ENCODE Processing Pipeline	5d74b29165b756ad6b75cc4f5e4ee9f3		https://www.encodeproject.org/files/ENCFF522JCV/@@download/ENCFF522JCV.bed.gz	GRCh38				released	s3://encode-public/2017/04/21/f59de49b-9e17-4187-92f8-214067c296ac/ENCFF522JCV.bed.gz	low read length, mild to moderate bottlenecking, control low read depth, moderate library complexity		insufficient read depth	
ENCFF536OTV	bed narrowPeak	peaks and background as input for IDR	ENCSR000ALA	ChIP-seq	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens										CTCF-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF209BDU, ENCFF780ZFP	3944807	ENCODE Processing Pipeline	729f1f18a35f9df85ceb6bb042a73fd6		https://www.encodeproject.org/files/ENCFF536OTV/@@download/ENCFF536OTV.bed.gz	GRCh38				released	s3://encode-public/2017/04/21/536582e1-0259-4a32-83d9-1b297a238276/ENCFF536OTV.bed.gz	low read length, mild to moderate bottlenecking, control low read depth, moderate library complexity		insufficient read depth	
ENCFF733VAF	bed narrowPeak	pseudoreplicated IDR thresholded peaks	ENCSR582MTM	ChIP-seq	UBERON:0004264	lower leg skin	tissue	Homo sapiens										CTCF-human	DNA					False	2016-11-07	ENCODE				2							ENCFF001TDO, ENCFF873BHU	122407	ENCODE Processing Pipeline	d127cae97d80326bd6656e62227353fa		https://www.encodeproject.org/files/ENCFF733VAF/@@download/ENCFF733VAF.bed.gz	hg19				released	s3://encode-public/2017/08/11/6ca8c782-cbbb-48d7-be1f-414512fc457f/ENCFF733VAF.bed.gz	mild to moderate bottlenecking, moderate library complexity, low read depth, antibody characterized with exemption			
ENCFF873BHU	bed narrowPeak	peaks and background as input for IDR	ENCSR582MTM	ChIP-seq	UBERON:0004264	lower leg skin	tissue	Homo sapiens										CTCF-human	DNA					False	2016-11-07	ENCODE				2							ENCFF592HGH, ENCFF985JPM	4832031	ENCODE Processing Pipeline	61a2fd11b3639d9c0df47240e44f5e6c		https://www.encodeproject.org/files/ENCFF873BHU/@@download/ENCFF873BHU.bed.gz	hg19				released	s3://encode-public/2017/08/11/410d0189-3d88-4010-9c1d-2540ceb8ba50/ENCFF873BHU.bed.gz	mild to moderate bottlenecking, moderate library complexity, low read depth, antibody characterized with exemption			
ENCFF843BCC	bed narrowPeak	peaks and background as input for IDR	ENCSR582MTM	ChIP-seq	UBERON:0004264	lower leg skin	tissue	Homo sapiens										CTCF-human	DNA					False	2016-11-07	ENCODE				2							ENCFF068GBU, ENCFF868OFG	4834371	ENCODE Processing Pipeline	4e9b9b564607e6d233610408d833b864		https://www.encodeproject.org/files/ENCFF843BCC/@@download/ENCFF843BCC.bed.gz	GRCh38				released	s3://encode-public/2017/08/11/4e371495-2367-4722-8064-2435a6b998a2/ENCFF843BCC.bed.gz	mild to moderate bottlenecking, moderate library complexity, low read depth, antibody characterized with exemption			
ENCFF846VQK	bed narrowPeak	pseudoreplicated IDR thresholded peaks	ENCSR582MTM	ChIP-seq	UBERON:0004264	lower leg skin	tissue	Homo sapiens										CTCF-human	DNA					False	2016-11-07	ENCODE				2							ENCFF419RSJ, ENCFF843BCC	116917	ENCODE Processing Pipeline	a3f2a715a5b5a1b24df65587b63db29d		https://www.encodeproject.org/files/ENCFF846VQK/@@download/ENCFF846VQK.bed.gz	GRCh38				released	s3://encode-public/2017/08/11/9559ed4e-777e-4964-b03d-1d502fcf6348/ENCFF846VQK.bed.gz	mild to moderate bottlenecking, moderate library complexity, low read depth, antibody characterized with exemption			
ENCFF249NQH	bed narrowPeak	peaks and background as input for IDR	ENCSR721AHD	ChIP-seq	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										CTCF-human	DNA					False	2016-12-08	ENCODE				1							ENCFF376VVJ, ENCFF460MTF	6701374	ENCODE Processing Pipeline	8df7318798834bbce0ce98192ccbd380		https://www.encodeproject.org/files/ENCFF249NQH/@@download/ENCFF249NQH.bed.gz	hg19				released	s3://encode-public/2017/08/11/cfaf7417-eef5-46e3-ab8a-98feb99d9368/ENCFF249NQH.bed.gz	mild to moderate bottlenecking, moderate library complexity, antibody characterized with exemption			
