2019-09-06 11:21:54.963667	https://www.encodeproject.org/report/?type=Annotation&encyclopedia_version=4&annotation_type=candidate+Cis-Regulatory+Elements&organism.scientific_name=Homo+sapiens&biosample_ontology.classification=tissue&biosample_ontology.classification=primary+cell&field=%40id&field=accession&field=targets.label&field=biosample_ontology.term_name&field=description&field=lab.title&field=award.project&field=status&field=organism.scientific_name&field=relevant_life_stage&field=relevant_timepoint&field=relevant_timepoint_units&field=software_used.software.name&field=schema_version&field=related_files&field=alternate_accessions&field=date_released&field=dbxrefs&field=internal_tags&field=biosample_ontology&field=documents&field=notes&field=date_created&field=submitted_by&field=references&field=award&field=aliases&field=annotation_type&field=encyclopedia_version&field=supersedes&field=assembly&field=contributing_files&field=original_files&field=revoked_files&field=month_released&field=files&field=superseded_by&field=hub&files.file_type=bed+bed3%2B&sort=biosample_ontology&limit=all
ID	Accession	Target	Biosample term name	Description	Lab	Project	Status	Organism	Life stage	Age	Age units	Software used	Schema version	Additional data files	Alternate accessions	Date released	External resources	Internal tags	Biosample ontology	Documents	Notes	Date created	Submitted by	References	Award	Aliases	Annotation type	Encyclopedia version	Supersedes	Genome assembly	Contributing files	Original files	Revoked files	Month released	Files	Superseded by	Hub
/annotations/ENCSR032YSM/	ENCSR032YSM	H3K27ac	skeletal muscle tissue	9-state high H3K27ac for skeletal muscle female adult (72 years)	Zhiping Weng, UMass	ENCODE	released	Homo sapiens	adult	72	year		25			2017-08-30			/biosample-types/tissue_UBERON_0001134/			2017-07-10T22:39:31.335501+00:00	/users/5a1c0169-f9d0-4598-8f92-3eb84b122c1e/		/awards/U41HG007000/	zhiping-weng:cREs-hg19-v10-skeletal-muscle-female-adult-72-years-9state-H3K27ac	candidate Cis-Regulatory Elements	4		hg19	/files/ENCFF621SFC/	/files/ENCFF724BBU/,/files/ENCFF285VIT/		August, 2017	/files/ENCFF724BBU/,/files/ENCFF285VIT/		/annotations/ENCSR032YSM/@@hub/hub.txt
/annotations/ENCSR937VND/	ENCSR937VND	H3K27ac	right lobe of liver	9-state high H3K27ac for right lobe of liver female adult (53 years)	Zhiping Weng, UMass	ENCODE	released	Homo sapiens	adult	53	year		25			2017-08-30			/biosample-types/tissue_UBERON_0001114/			2017-07-10T22:41:38.881219+00:00	/users/5a1c0169-f9d0-4598-8f92-3eb84b122c1e/		/awards/U41HG007000/	zhiping-weng:cREs-hg19-v10-right-lobe-of-liver-female-adult-53-years-9state-H3K27ac	candidate Cis-Regulatory Elements	4		hg19	/files/ENCFF621SFC/	/files/ENCFF194VXA/,/files/ENCFF887QMJ/		August, 2017	/files/ENCFF194VXA/,/files/ENCFF887QMJ/		/annotations/ENCSR937VND/@@hub/hub.txt
/annotations/ENCSR471WXV/	ENCSR471WXV	H3K4me3	heart right ventricle	9-state high H3K4me3 for heart right ventricle male child (3 years)	Zhiping Weng, UMass	ENCODE	released	Homo sapiens	young adult	3	year		25			2017-08-29			/biosample-types/tissue_UBERON_0002080/			2017-08-21T22:22:09.402831+00:00	/users/5a1c0169-f9d0-4598-8f92-3eb84b122c1e/		/awards/U41HG007000/	zhiping-weng:cREs-hg19-v10-heart-right-ventricle-male-child-3-years-9state-H3K4me3	candidate Cis-Regulatory Elements	4		hg19	/files/ENCFF970QXN/	/files/ENCFF494TJU/,/files/ENCFF089ENX/		August, 2017	/files/ENCFF494TJU/,/files/ENCFF089ENX/		/annotations/ENCSR471WXV/@@hub/hub.txt
/annotations/ENCSR478YQZ/	ENCSR478YQZ		fibroblast of mammary gland	9-state high DNase for fibroblast of mammary gland female	Zhiping Weng, UMass	ENCODE	released	Homo sapiens	unknown				25			2017-08-31			/biosample-types/primary_cell_CL_0002555/			2017-08-21T22:10:49.609763+00:00	/users/5a1c0169-f9d0-4598-8f92-3eb84b122c1e/		/awards/U41HG007000/	zhiping-weng:cREs-hg19-v10-fibroblast-of-mammary-gland-female-9state-DNase	candidate Cis-Regulatory Elements	4		hg19	/files/ENCFF788SJC/	/files/ENCFF374BZV/,/files/ENCFF411HKP/		August, 2017	/files/ENCFF374BZV/,/files/ENCFF411HKP/		/annotations/ENCSR478YQZ/@@hub/hub.txt
/annotations/ENCSR995DKX/	ENCSR995DKX		renal pelvis	5-group for renal pelvis female fetal (105 days)	Zhiping Weng, UMass	ENCODE	released	Homo sapiens	embryonic	105	day		25			2017-09-12			/biosample-types/tissue_UBERON_0001224/			2017-08-21T22:11:56.550790+00:00	/users/5a1c0169-f9d0-4598-8f92-3eb84b122c1e/		/awards/U41HG007000/	zhiping-weng:cREs-hg19-v10-renal-pelvis-female-fetal-105-days-5group	candidate Cis-Regulatory Elements	4		hg19	/files/ENCFF788SJC/	/files/ENCFF697GSZ/,/files/ENCFF052IVI/		September, 2017	/files/ENCFF697GSZ/,/files/ENCFF052IVI/		/annotations/ENCSR995DKX/@@hub/hub.txt
/annotations/ENCSR182PQX/	ENCSR182PQX		stomach	9-state high DNase for stomach female fetal (96-98 days)	Zhiping Weng, UMass	ENCODE	released	Homo sapiens	embryonic	96	day		25			2017-08-31			/biosample-types/tissue_UBERON_0000945/			2017-07-10T22:02:26.606121+00:00	/users/5a1c0169-f9d0-4598-8f92-3eb84b122c1e/		/awards/U41HG007000/	zhiping-weng:cREs-hg19-v10-stomach-female-fetal-96-98-days-9state-DNase	candidate Cis-Regulatory Elements	4		hg19	/files/ENCFF788SJC/	/files/ENCFF735KJG/,/files/ENCFF640JWI/		August, 2017	/files/ENCFF735KJG/,/files/ENCFF640JWI/		/annotations/ENCSR182PQX/@@hub/hub.txt
/annotations/ENCSR603NYE/	ENCSR603NYE	H3K4me3	fibroblast of skin of abdomen	9-state high H3K4me3 for fibroblast of skin of abdomen male adult (22 years)	Zhiping Weng, UMass	ENCODE	released	Homo sapiens	adult	22	year		25			2017-08-29			/biosample-types/primary_cell_CL_2000013/			2017-07-10T21:47:25.001773+00:00	/users/5a1c0169-f9d0-4598-8f92-3eb84b122c1e/		/awards/U41HG007000/	zhiping-weng:cREs-hg19-v10-fibroblast-of-skin-of-abdomen-male-adult-22-years-9state-H3K4me3	candidate Cis-Regulatory Elements	4		hg19	/files/ENCFF970QXN/	/files/ENCFF345QPD/,/files/ENCFF516TLE/		August, 2017	/files/ENCFF345QPD/,/files/ENCFF516TLE/		/annotations/ENCSR603NYE/@@hub/hub.txt
/annotations/ENCSR305LHR/	ENCSR305LHR	H3K4me3,H3K27ac	natural killer cell	5-group for natural killer cell male adult (37 years)	Zhiping Weng, UMass	ENCODE	released	Homo sapiens	adult	37	year		25			2017-09-12			/biosample-types/primary_cell_CL_0000623/			2017-07-10T22:02:44.645639+00:00	/users/5a1c0169-f9d0-4598-8f92-3eb84b122c1e/		/awards/U41HG007000/	zhiping-weng:cREs-hg19-v10-natural-killer-cell-male-adult-37-years-5group	candidate Cis-Regulatory Elements	4		hg19	/files/ENCFF788SJC/	/files/ENCFF625FCU/,/files/ENCFF529UWB/		September, 2017	/files/ENCFF625FCU/,/files/ENCFF529UWB/		/annotations/ENCSR305LHR/@@hub/hub.txt
/annotations/ENCSR487OBX/	ENCSR487OBX	H3K27ac	gastrocnemius medialis	9-state high H3K27ac for gastrocnemius medialis male adult (37 years)	Zhiping Weng, UMass	ENCODE	released	Homo sapiens	adult	37	year		25			2017-08-30			/biosample-types/tissue_UBERON_0011907/			2017-08-21T22:12:33.844469+00:00	/users/5a1c0169-f9d0-4598-8f92-3eb84b122c1e/		/awards/U41HG007000/	zhiping-weng:cREs-hg19-v10-gastrocnemius-medialis-male-adult-37-years-9state-H3K27ac	candidate Cis-Regulatory Elements	4		hg19	/files/ENCFF621SFC/	/files/ENCFF449NYM/,/files/ENCFF669ZKS/		August, 2017	/files/ENCFF449NYM/,/files/ENCFF669ZKS/		/annotations/ENCSR487OBX/@@hub/hub.txt
/annotations/ENCSR999ZMH/	ENCSR999ZMH		right kidney	5-group for right kidney male fetal (91 days)	Zhiping Weng, UMass	ENCODE	released	Homo sapiens	embryonic	91	day		25			2017-09-12			/biosample-types/tissue_UBERON_0004539/			2017-08-21T22:13:19.462033+00:00	/users/5a1c0169-f9d0-4598-8f92-3eb84b122c1e/		/awards/U41HG007000/	zhiping-weng:cREs-hg19-v10-right-kidney-male-fetal-91-day-5group	candidate Cis-Regulatory Elements	4		hg19	/files/ENCFF788SJC/	/files/ENCFF158KVT/,/files/ENCFF097FJF/		September, 2017	/files/ENCFF158KVT/,/files/ENCFF097FJF/		/annotations/ENCSR999ZMH/@@hub/hub.txt
