File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF168SXR	bed narrowPeak	peaks	ENCSR000EML	DNase-seq	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	primary cell	adult	male	26 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF488PYC, ENCFF967OQF	1246640	ENCODE Processing Pipeline	4da1b283fab18d4ce769a4eddc0c0c9e		https://www.encodeproject.org/files/ENCFF168SXR/@@download/ENCFF168SXR.bed.gz	GRCh38			released		sequencing runs labeled as technical replicates, mismatched status		
ENCFF181OFF	bed narrowPeak	peaks	ENCSR000EML	DNase-seq	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	primary cell	adult	male	26 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF138MTV, ENCFF390DNP	1239683	ENCODE Processing Pipeline	1f8acc0ee476ff727293c3be0dbbed91		https://www.encodeproject.org/files/ENCFF181OFF/@@download/ENCFF181OFF.bed.gz	hg19			released		sequencing runs labeled as technical replicates, mismatched status		
ENCFF001SQO	bed narrowPeak	peaks	ENCSR000ENE	DNase-seq	CL:2000044	brain microvascular endothelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				1, 2							ENCFF001CYH, ENCFF001CYJ	1906509	John Stamatoyannopoulos, UW	3e490f9dcaee15a088a504c9a4f49532		https://www.encodeproject.org/files/ENCFF001SQO/@@download/ENCFF001SQO.bed.gz	hg19			archived	low read depth			
ENCFF001WHF	bed narrowPeak	peaks	ENCSR000ENE	DNase-seq	CL:2000044	brain microvascular endothelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF001CYH	2341986	John Stamatoyannopoulos, UW	db2412a903125e80bb32e69b71e11291		https://www.encodeproject.org/files/ENCFF001WHF/@@download/ENCFF001WHF.bed.gz	hg19			archived	low read depth			
ENCFF001WHG	bed narrowPeak	peaks	ENCSR000ENE	DNase-seq	CL:2000044	brain microvascular endothelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF001CYJ	1975271	John Stamatoyannopoulos, UW	fa2ab791ca4c7b184edb8b0dde81b5b0		https://www.encodeproject.org/files/ENCFF001WHG/@@download/ENCFF001WHG.bed.gz	hg19			archived	low read depth			
ENCFF613TQY	bed narrowPeak	peaks	ENCSR000ENE	DNase-seq	CL:2000044	brain microvascular endothelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF046SUV, ENCFF163ZHO	1279324	ENCODE Processing Pipeline	c7f1cb141d0a4295a29653e223a81842		https://www.encodeproject.org/files/ENCFF613TQY/@@download/ENCFF613TQY.bed.gz	hg19			archived	low read depth			
ENCFF283RDM	bed narrowPeak	peaks	ENCSR000ENE	DNase-seq	CL:2000044	brain microvascular endothelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF163ZHO, ENCFF386OAC	1060130	ENCODE Processing Pipeline	21e4b692089e3a8ab8089f0ae81dcb41		https://www.encodeproject.org/files/ENCFF283RDM/@@download/ENCFF283RDM.bed.gz	hg19			archived	low read depth			
ENCFF384MYP	bed narrowPeak	peaks	ENCSR000ENE	DNase-seq	CL:2000044	brain microvascular endothelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF511KMH, ENCFF992CZQ	1282289	ENCODE Processing Pipeline	7594a357a198c494a35cb5695c0051bb		https://www.encodeproject.org/files/ENCFF384MYP/@@download/ENCFF384MYP.bed.gz	GRCh38			archived	low read depth			
ENCFF744YCN	bed narrowPeak	peaks	ENCSR000ENE	DNase-seq	CL:2000044	brain microvascular endothelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF205GIF, ENCFF992CZQ	1062369	ENCODE Processing Pipeline	fbc07e5fdedd7c3df126e8c79da23a20		https://www.encodeproject.org/files/ENCFF744YCN/@@download/ENCFF744YCN.bed.gz	GRCh38			archived	low read depth			
ENCFF171CTL	bed narrowPeak	peaks	ENCSR000ENE	DNase-seq	CL:2000044	brain microvascular endothelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF419OPC, ENCFF967OQF	1105721	ENCODE Processing Pipeline	2257af3f060f202c0d96be502b9b3158		https://www.encodeproject.org/files/ENCFF171CTL/@@download/ENCFF171CTL.bed.gz	GRCh38			released	low read depth			
