File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF383NCL	bed narrowPeak	peaks	ENCSR430TEE	ChIP-seq	UBERON:0004264	lower leg skin	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-11-07	ENCODE				1							ENCFF553WEE, ENCFF773QXS	4852087	ENCODE Processing Pipeline	88ab6ea26eedfdb4b74aabdcc2816b3e		https://www.encodeproject.org/files/ENCFF383NCL/@@download/ENCFF383NCL.bed.gz	hg19			released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking			
ENCFF054PUP	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR430TEE	ChIP-seq	UBERON:0004264	lower leg skin	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-11-07	ENCODE				1							ENCFF001TDO, ENCFF383NCL	21696	ENCODE Processing Pipeline	a18810fe60b1b0de416238125c99cf76		https://www.encodeproject.org/files/ENCFF054PUP/@@download/ENCFF054PUP.bed.gz	hg19			released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking			
ENCFF031IUJ	bed narrowPeak	peaks	ENCSR430TEE	ChIP-seq	UBERON:0004264	lower leg skin	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-11-07	ENCODE				1							ENCFF037IQW, ENCFF056EFI	4857427	ENCODE Processing Pipeline	100fdf8666c7c0724c1fc3a5523e3255		https://www.encodeproject.org/files/ENCFF031IUJ/@@download/ENCFF031IUJ.bed.gz	GRCh38			released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking			
ENCFF992DNN	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR430TEE	ChIP-seq	UBERON:0004264	lower leg skin	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-11-07	ENCODE				1							ENCFF031IUJ, ENCFF419RSJ	23286	ENCODE Processing Pipeline	b75dcc6e0a7db973bcfac7d33e966a73		https://www.encodeproject.org/files/ENCFF992DNN/@@download/ENCFF992DNN.bed.gz	GRCh38			released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking			
ENCFF566UPM	bed narrowPeak	peaks	ENCSR484DDO	ChIP-seq	UBERON:0001150	body of pancreas	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-11-07	ENCODE				1							ENCFF106EBG, ENCFF877TJY	5615141	ENCODE Processing Pipeline	e03992ef808a39698d072763307d482a		https://www.encodeproject.org/files/ENCFF566UPM/@@download/ENCFF566UPM.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF156VNT	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR484DDO	ChIP-seq	UBERON:0001150	body of pancreas	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-11-07	ENCODE				1							ENCFF001TDO, ENCFF566UPM	509551	ENCODE Processing Pipeline	ef61263190c664f2b82fc7a77f2dd8da		https://www.encodeproject.org/files/ENCFF156VNT/@@download/ENCFF156VNT.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF900GKE	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR484DDO	ChIP-seq	UBERON:0001150	body of pancreas	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-11-07	ENCODE				1							ENCFF401WKA, ENCFF419RSJ	511120	ENCODE Processing Pipeline	504df33facb5d8453e5ba1e76c18d8c5		https://www.encodeproject.org/files/ENCFF900GKE/@@download/ENCFF900GKE.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF401WKA	bed narrowPeak	peaks	ENCSR484DDO	ChIP-seq	UBERON:0001150	body of pancreas	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-11-07	ENCODE				1							ENCFF221DPL, ENCFF533JZM	5618542	ENCODE Processing Pipeline	14698e67f0795fb707ceb7d410b9c65c		https://www.encodeproject.org/files/ENCFF401WKA/@@download/ENCFF401WKA.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF237NQY	bed narrowPeak	peaks	ENCSR493APD	ChIP-seq	UBERON:0000992	ovary	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-13	ENCODE				1							ENCFF792NXA, ENCFF947XNG	6388761	ENCODE Processing Pipeline	47941d70f95744de2f455d8fed7735ef		https://www.encodeproject.org/files/ENCFF237NQY/@@download/ENCFF237NQY.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF261BWI	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR493APD	ChIP-seq	UBERON:0000992	ovary	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-13	ENCODE				1							ENCFF001TDO, ENCFF237NQY	453642	ENCODE Processing Pipeline	275d239b4a18b95aa4b605a4a1acbedf		https://www.encodeproject.org/files/ENCFF261BWI/@@download/ENCFF261BWI.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF886WWT	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR493APD	ChIP-seq	UBERON:0000992	ovary	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-13	ENCODE				1							ENCFF419RSJ, ENCFF786QZK	431460	ENCODE Processing Pipeline	8c31e9ec6422c5d8073767e065581693		https://www.encodeproject.org/files/ENCFF886WWT/@@download/ENCFF886WWT.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF786QZK	bed narrowPeak	peaks	ENCSR493APD	ChIP-seq	UBERON:0000992	ovary	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-13	ENCODE				1							ENCFF550JLY, ENCFF563SSP	6349253	ENCODE Processing Pipeline	b23d9988deb63773b95db0e9fcf1d71f		https://www.encodeproject.org/files/ENCFF786QZK/@@download/ENCFF786QZK.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF146REQ	bed narrowPeak	peaks	ENCSR494TNM	ChIP-seq	UBERON:0000473	testis	tissue	adult	male	37 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-13	ENCODE				1							ENCFF561ZZE, ENCFF990EXV	6455685	ENCODE Processing Pipeline	8c21cf6410066a2c361f5eb7b13e2c69		https://www.encodeproject.org/files/ENCFF146REQ/@@download/ENCFF146REQ.bed.gz	hg19			released	antibody characterized with exemption, mild to moderate bottlenecking			
ENCFF432XLE	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR494TNM	ChIP-seq	UBERON:0000473	testis	tissue	adult	male	37 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-13	ENCODE				1							ENCFF001TDO, ENCFF146REQ	443651	ENCODE Processing Pipeline	6871e52c9ac95a1732d9d852967f62b7		https://www.encodeproject.org/files/ENCFF432XLE/@@download/ENCFF432XLE.bed.gz	hg19			released	antibody characterized with exemption, mild to moderate bottlenecking			
ENCFF300WML	bed narrowPeak	peaks	ENCSR494TNM	ChIP-seq	UBERON:0000473	testis	tissue	adult	male	37 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-13	ENCODE				1							ENCFF232BJL, ENCFF951HNT	6432939	ENCODE Processing Pipeline	1dc998c807543234db68bd2ab4cc4d3e		https://www.encodeproject.org/files/ENCFF300WML/@@download/ENCFF300WML.bed.gz	GRCh38			released	antibody characterized with exemption, mild to moderate bottlenecking			
ENCFF788RFY	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR494TNM	ChIP-seq	UBERON:0000473	testis	tissue	adult	male	37 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-13	ENCODE				1							ENCFF300WML, ENCFF419RSJ	426981	ENCODE Processing Pipeline	2f9020585531b5ccd6816b5a4f22a56c		https://www.encodeproject.org/files/ENCFF788RFY/@@download/ENCFF788RFY.bed.gz	GRCh38			released	antibody characterized with exemption, mild to moderate bottlenecking			
ENCFF039PUW	bed narrowPeak	peaks	ENCSR027FSZ	ChIP-seq	UBERON:0008952	upper lobe of left lung	tissue	adult	male	37 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-08	ENCODE				1							ENCFF080TZU, ENCFF622IZB	6776523	ENCODE Processing Pipeline	7f3d79db32c87814cfd1f8f89aece011		https://www.encodeproject.org/files/ENCFF039PUW/@@download/ENCFF039PUW.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF984EZB	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR027FSZ	ChIP-seq	UBERON:0008952	upper lobe of left lung	tissue	adult	male	37 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-08	ENCODE				1							ENCFF001TDO, ENCFF039PUW	774948	ENCODE Processing Pipeline	cba2a3cc5d76cd33e4db70500d735e67		https://www.encodeproject.org/files/ENCFF984EZB/@@download/ENCFF984EZB.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF932CWN	bed narrowPeak	peaks	ENCSR027FSZ	ChIP-seq	UBERON:0008952	upper lobe of left lung	tissue	adult	male	37 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-08	ENCODE				1							ENCFF562CIX, ENCFF894PHG	6710573	ENCODE Processing Pipeline	539ae5cd376ca4837dc1e7a9f8e34558		https://www.encodeproject.org/files/ENCFF932CWN/@@download/ENCFF932CWN.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF716XFO	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR027FSZ	ChIP-seq	UBERON:0008952	upper lobe of left lung	tissue	adult	male	37 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-08	ENCODE				1							ENCFF419RSJ, ENCFF932CWN	755270	ENCODE Processing Pipeline	37396eef07b3a75d56368746b1e59ade		https://www.encodeproject.org/files/ENCFF716XFO/@@download/ENCFF716XFO.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF104VHX	bed narrowPeak	peaks	ENCSR970UZD	ChIP-seq	UBERON:0008952	upper lobe of left lung	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-08	ENCODE				1							ENCFF262AKB, ENCFF751PAR	6703589	ENCODE Processing Pipeline	39a6843c915a672793f7e5e5bb96a704		https://www.encodeproject.org/files/ENCFF104VHX/@@download/ENCFF104VHX.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF781EZZ	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR970UZD	ChIP-seq	UBERON:0008952	upper lobe of left lung	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-08	ENCODE				1							ENCFF001TDO, ENCFF104VHX	500178	ENCODE Processing Pipeline	44409b3a2e915e325f4725ef8190ca9b		https://www.encodeproject.org/files/ENCFF781EZZ/@@download/ENCFF781EZZ.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF343RNG	bed narrowPeak	peaks	ENCSR970UZD	ChIP-seq	UBERON:0008952	upper lobe of left lung	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-08	ENCODE				1							ENCFF170EHY, ENCFF519AHQ	6688566	ENCODE Processing Pipeline	a75f8d5dc261292b1ce154a40a8caa6a		https://www.encodeproject.org/files/ENCFF343RNG/@@download/ENCFF343RNG.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF254NYT	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR970UZD	ChIP-seq	UBERON:0008952	upper lobe of left lung	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-08	ENCODE				1							ENCFF343RNG, ENCFF419RSJ	499702	ENCODE Processing Pipeline	873c61ac0676e9c0d350939f78364973		https://www.encodeproject.org/files/ENCFF254NYT/@@download/ENCFF254NYT.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF249NQH	bed narrowPeak	peaks	ENCSR721AHD	ChIP-seq	UBERON:0001159	sigmoid colon	tissue	adult	male	37 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-08	ENCODE				1							ENCFF376VVJ, ENCFF460MTF	6701374	ENCODE Processing Pipeline	8df7318798834bbce0ce98192ccbd380		https://www.encodeproject.org/files/ENCFF249NQH/@@download/ENCFF249NQH.bed.gz	hg19			released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking	mismatched status		
ENCFF637HAC	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR721AHD	ChIP-seq	UBERON:0001159	sigmoid colon	tissue	adult	male	37 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-08	ENCODE				1							ENCFF001TDO, ENCFF249NQH	472059	ENCODE Processing Pipeline	7fb333c78f555b43e1243b1d146b7dbe		https://www.encodeproject.org/files/ENCFF637HAC/@@download/ENCFF637HAC.bed.gz	hg19			released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking	mismatched status		
ENCFF173WQR	bed narrowPeak	peaks	ENCSR721AHD	ChIP-seq	UBERON:0001159	sigmoid colon	tissue	adult	male	37 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-08	ENCODE				1							ENCFF414EUV, ENCFF978YES	6738191	ENCODE Processing Pipeline	6d126050fbac5f3b8ce18211480d4ab2		https://www.encodeproject.org/files/ENCFF173WQR/@@download/ENCFF173WQR.bed.gz	GRCh38			released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking	mismatched status		
